Itemset,Support
"('Day 58',)",9874
"('Day 58', 'Magnitude Type ML')",6369
"('Day 0',)",9890
"('Day 0', 'Magnitude Type ML')",6462
"('Day 60',)",9901
"('Day 60', 'Magnitude Type ML')",6392
"('Day 33',)",9917
"('Day 33', 'Magnitude Type ML')",6199
"('Magnitude 54',)",9935
"('Magnitude 54', 'Magnitude Type ML')",7995
"('Day 35',)",9939
"('Day 35', 'Magnitude Type ML')",6132
"('Magnitude Type ML', 'Year 49')",4139
"('Month 5', 'Year 49')",4145
"('Month 0', 'Year 49')",4150
"('Day 22',)",9965
"('Day 22', 'Magnitude Type ML')",6370
"('Day 17',)",10060
"('Day 17', 'Magnitude Type ML')",6449
"('Day 51',)",10135
"('Day 51', 'Magnitude Type ML')",6702
"('Day 20',)",10141
"('Day 20', 'Magnitude Type ML')",6419
"('Day 24',)",10152
"('Day 24', 'Magnitude Type ML')",6476
"('Day 37',)",10159
"('Day 37', 'Magnitude Type ML')",6401
"('Day 26',)",10189
"('Day 26', 'Magnitude Type ML')",6385
"('Day 2',)",10189
"('Day 2', 'Magnitude Type ML')",6453
"('Depth 13',)",10315
"('Depth 13', 'Magnitude Type ML')",8205
"('Day 53',)",10354
"('Day 53', 'Magnitude Type ML')",6677
"('Day 40',)",10386
"('Day 40', 'Magnitude Type ML')",6392
"('Day 4',)",10459
"('Day 4', 'Magnitude Type ML')",6755
"('Latitude 174',)",10850
"('Latitude 174', 'Magnitude Type ML')",7219
"('Longitude 21', 'Year 41')",3025
"('Depth 12', 'Longitude 21')",3292
"('Longitude 21', 'Magnitude Type mb')",4092
"('Longitude 21', 'Magnitude Type  M')",4531
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII')",3132
"('Depth 5', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",3132
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",3130
"('Depth 5', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII')",3135
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 28')",3137
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Year 41')",3134
"('Depth 5', 'Longitude 6', 'Magnitude Type ML', 'Month 28')",3142
"('Depth 5', 'Longitude 6', 'Magnitude Type ML', 'Month 28', 'Year 41')",3136
"('Depth 5', 'Magnitude Type ML', 'Month 28', 'Year 41')",3157
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII')",3422
"('Depth 5', 'Longitude 6', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",3422
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",3417
"('Depth 5', 'Longitude 6', 'Month 28', 'Region Name ISLAND OF HAWAII, HAWAII')",3428
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Month 28')",3431
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Month 28', 'Year 41')",3425
"('Depth 5', 'Longitude 6', 'Month 28')",3439
"('Depth 5', 'Longitude 6', 'Month 28', 'Year 41')",3430
"('Depth 5', 'Month 28', 'Year 41')",3462
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII')",3927
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Year 41')",3927
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",3926
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Month 33')",3928
"('Depth 5', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII')",3929
"('Depth 5', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",3927
"('Depth 5', 'Longitude 6', 'Magnitude Type ML', 'Month 33')",3930
"('Depth 5', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Year 41')",3928
"('Depth 5', 'Magnitude Type ML', 'Month 33', 'Year 41')",3955
"('Depth 5', 'Longitude 6', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",4363
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",4361
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII')",4366
"('Depth 5', 'Longitude 6', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII')",4369
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Month 33')",4371
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Month 33', 'Year 41')",4366
"('Depth 5', 'Longitude 6', 'Month 33')",4376
"('Depth 5', 'Longitude 6', 'Month 33', 'Year 41')",4368
"('Depth 5', 'Month 33', 'Year 41')",4411
"('Depth 5', 'Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",8228
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",8216
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII')",8252
"('Depth 5', 'Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII')",8268
"('Depth 5', 'Longitude 6', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",9262
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",9246
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Region Name ISLAND OF HAWAII, HAWAII')",9366
"('Depth 5', 'Longitude 6', 'Region Name ISLAND OF HAWAII, HAWAII')",9388
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML')",8290
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Year 41')",8249
"('Depth 5', 'Latitude 148', 'Longitude 6', 'Year 41')",9329
"('Depth 5', 'Latitude 148', 'Longitude 6')",9456
"('Depth 5', 'Longitude 6', 'Magnitude Type ML')",8350
"('Depth 5', 'Longitude 6', 'Magnitude Type ML', 'Year 41')",8283
"('Depth 5', 'Longitude 6', 'Year 41')",9395
"('Depth 5', 'Magnitude Type ML')",9708
"('Depth 5', 'Magnitude Type ML', 'Year 41')",8825
"('Depth 5', 'Year 41')",10199
"('Longitude 55', 'Region Name WESTERN TURKEY')",9376
"('Longitude 55', 'Magnitude Type ML', 'Region Name WESTERN TURKEY')",9273
"('Longitude 55', 'Magnitude Type ML')",11758
"('Depth 16',)",12114
"('Depth 16', 'Magnitude Type ML')",10272
"('Magnitude 51', 'Year 41')",3030
"('Magnitude 51', 'Magnitude Type ML')",9853
"('Depth 14',)",12306
"('Depth 14', 'Magnitude Type ML')",10538
"('Magnitude 56', 'Year 41')",3363
"('Magnitude 56', 'Magnitude Type ML')",9771
"('Longitude 6', 'Magnitude Type MD', 'Region Name ISLAND OF HAWAII, HAWAII')",3219
"('Latitude 148', 'Longitude 6', 'Magnitude Type MD', 'Region Name ISLAND OF HAWAII, HAWAII')",3063
"('Longitude 6', 'Magnitude Type MD')",3523
"('Latitude 148', 'Longitude 6', 'Magnitude Type MD')",3255
"('Latitude 148', 'Magnitude Type MD')",4304
"('Magnitude Type MD', 'Year 41')",4618
"('Latitude 179', 'Year 33')",3863
"('Latitude 179', 'Magnitude Type ML', 'Year 33')",3609
"('Latitude 179', 'Longitude 54')",5489
"('Latitude 179', 'Longitude 54', 'Magnitude Type ML')",5466
"('Latitude 179', 'Magnitude Type ML')",11593
"('Magnitude 49', 'Year 41')",3443
"('Magnitude 49', 'Magnitude Type ML', 'Year 41')",3122
"('Magnitude 49', 'Magnitude Type ML')",10983
"('Region Name GREECE', 'Year 8')",3768
"('Magnitude Type ML', 'Region Name GREECE', 'Year 8')",3693
"('Latitude 178', 'Region Name GREECE')",4254
"('Latitude 178', 'Magnitude Type ML', 'Region Name GREECE')",4211
"('Latitude 177', 'Longitude 52', 'Region Name GREECE')",3897
"('Latitude 177', 'Longitude 52', 'Magnitude Type ML', 'Region Name GREECE')",3833
"('Longitude 52', 'Magnitude Type ML', 'Region Name GREECE')",6061
"('Latitude 177', 'Region Name GREECE')",6786
"('Latitude 177', 'Magnitude Type ML', 'Region Name GREECE')",6687
"('Longitude 53', 'Region Name GREECE')",7379
"('Longitude 53', 'Magnitude Type ML', 'Region Name GREECE')",7287
"('Magnitude Type ML', 'Region Name GREECE')",13369
"('Longitude 52', 'Year 8')",3230
"('Longitude 52', 'Magnitude Type ML', 'Year 8')",3160
"('Latitude 176', 'Longitude 52')",3523
"('Latitude 176', 'Longitude 52', 'Magnitude Type ML')",3417
"('Latitude 177', 'Longitude 52')",4126
"('Latitude 177', 'Longitude 52', 'Magnitude Type ML')",4058
"('Longitude 52', 'Magnitude Type ML')",13567
"('Latitude 176', 'Year 41')",3613
"('Latitude 176', 'Magnitude Type ML', 'Year 41')",3138
"('Latitude 176', 'Magnitude Type ML')",12267
"('Latitude 177', 'Longitude 53')",3495
"('Latitude 177', 'Longitude 53', 'Magnitude Type ML')",3450
"('Latitude 177', 'Year 8')",4413
