Bins,Label
309.75,Depth 424
310.5,Depth 425
311.25,Depth 426
312.0,Depth 427
312.75,Depth 428
313.5,Depth 429
314.25,Depth 430
315.0,Depth 431
315.75,Depth 432
316.5,Depth 433
317.25,Depth 434
318.0,Depth 435
318.75,Depth 436
319.5,Depth 437
320.25,Depth 438
321.0,Depth 439
321.75,Depth 440
322.5,Depth 441
323.25,Depth 442
324.0,Depth 443
324.75,Depth 444
325.5,Depth 445
326.25,Depth 446
327.0,Depth 447
327.75,Depth 448
328.5,Depth 449
329.25,Depth 450
330.0,Depth 451
330.75,Depth 452
331.5,Depth 453
332.25,Depth 454
333.0,Depth 455
333.75,Depth 456
334.5,Depth 457
335.25,Depth 458
336.0,Depth 459
336.75,Depth 460
337.5,Depth 461
338.25,Depth 462
339.0,Depth 463
339.75,Depth 464
340.5,Depth 465
341.25,Depth 466
342.0,Depth 467
342.75,Depth 468
343.5,Depth 469
344.25,Depth 470
345.0,Depth 471
345.75,Depth 472
346.5,Depth 473
347.25,Depth 474
348.0,Depth 475
348.75,Depth 476
349.5,Depth 477
350.25,Depth 478
351.0,Depth 479
351.75,Depth 480
352.5,Depth 481
353.25,Depth 482
354.0,Depth 483
354.75,Depth 484
355.5,Depth 485
356.25,Depth 486
357.0,Depth 487
357.75,Depth 488
358.5,Depth 489
359.25,Depth 490
360.0,Depth 491
360.75,Depth 492
361.5,Depth 493
362.25,Depth 494
363.0,Depth 495
363.75,Depth 496
364.5,Depth 497
365.25,Depth 498
366.0,Depth 499
366.75,Depth 500
367.5,Depth 501
368.25,Depth 502
369.0,Depth 503
369.75,Depth 504
370.5,Depth 505
371.25,Depth 506
372.0,Depth 507
372.75,Depth 508
373.5,Depth 509
374.25,Depth 510
375.0,Depth 511
375.75,Depth 512
376.5,Depth 513
377.25,Depth 514
378.0,Depth 515
378.75,Depth 516
379.5,Depth 517
380.25,Depth 518
381.0,Depth 519
381.75,Depth 520
382.5,Depth 521
383.25,Depth 522
384.0,Depth 523
384.75,Depth 524
385.5,Depth 525
386.25,Depth 526
387.0,Depth 527
387.75,Depth 528
388.5,Depth 529
389.25,Depth 530
390.0,Depth 531
390.75,Depth 532
391.5,Depth 533
392.25,Depth 534
393.0,Depth 535
393.75,Depth 536
394.5,Depth 537
395.25,Depth 538
396.0,Depth 539
396.75,Depth 540
397.5,Depth 541
398.25,Depth 542
399.0,Depth 543
399.75,Depth 544
400.5,Depth 545
401.25,Depth 546
402.0,Depth 547
402.75,Depth 548
403.5,Depth 549
404.25,Depth 550
405.0,Depth 551
405.75,Depth 552
406.5,Depth 553
407.25,Depth 554
408.0,Depth 555
408.75,Depth 556
409.5,Depth 557
410.25,Depth 558
411.0,Depth 559
411.75,Depth 560
412.5,Depth 561
413.25,Depth 562
414.0,Depth 563
414.75,Depth 564
415.5,Depth 565
416.25,Depth 566
417.0,Depth 567
417.75,Depth 568
418.5,Depth 569
419.25,Depth 570
420.0,Depth 571
420.75,Depth 572
421.5,Depth 573
422.25,Depth 574
423.0,Depth 575
423.75,Depth 576
424.5,Depth 577
425.25,Depth 578
426.0,Depth 579
426.75,Depth 580
427.5,Depth 581
428.25,Depth 582
429.0,Depth 583
429.75,Depth 584
430.5,Depth 585
431.25,Depth 586
432.0,Depth 587
432.75,Depth 588
433.5,Depth 589
434.25,Depth 590
435.0,Depth 591
