Bins,Label
-1.37,Latitude 117
-0.71,Latitude 118
-0.05,Latitude 119
0.61,Latitude 120
1.27,Latitude 121
1.93,Latitude 122
2.59,Latitude 123
3.25,Latitude 124
3.91,Latitude 125
4.57,Latitude 126
5.23,Latitude 127
5.89,Latitude 128
6.55,Latitude 129
7.21,Latitude 130
7.87,Latitude 131
8.53,Latitude 132
9.19,Latitude 133
9.85,Latitude 134
10.51,Latitude 135
11.17,Latitude 136
11.83,Latitude 137
12.49,Latitude 138
13.15,Latitude 139
13.81,Latitude 140
14.47,Latitude 141
15.13,Latitude 142
15.79,Latitude 143
16.45,Latitude 144
17.11,Latitude 145
17.77,Latitude 146
18.43,Latitude 147
19.09,Latitude 148
19.75,Latitude 149
20.41,Latitude 150
21.07,Latitude 151
21.73,Latitude 152
22.39,Latitude 153
23.05,Latitude 154
23.71,Latitude 155
24.37,Latitude 156
25.03,Latitude 157
25.69,Latitude 158
26.35,Latitude 159
27.01,Latitude 160
27.67,Latitude 161
28.33,Latitude 162
28.99,Latitude 163
29.65,Latitude 164
30.31,Latitude 165
30.97,Latitude 166
31.63,Latitude 167
32.29,Latitude 168
32.95,Latitude 169
33.61,Latitude 170
34.27,Latitude 171
34.93,Latitude 172
35.59,Latitude 173
36.25,Latitude 174
36.91,Latitude 175
37.57,Latitude 176
38.23,Latitude 177
38.89,Latitude 178
39.55,Latitude 179
40.21,Latitude 180
40.87,Latitude 181
41.53,Latitude 182
42.19,Latitude 183
42.85,Latitude 184
43.51,Latitude 185
44.17,Latitude 186
44.83,Latitude 187
45.49,Latitude 188
46.15,Latitude 189
46.81,Latitude 190
47.47,Latitude 191
48.13,Latitude 192
48.79,Latitude 193
49.45,Latitude 194
50.11,Latitude 195
50.77,Latitude 196
51.43,Latitude 197
52.09,Latitude 198
52.75,Latitude 199
53.41,Latitude 200
54.07,Latitude 201
54.73,Latitude 202
55.39,Latitude 203
56.05,Latitude 204
56.71,Latitude 205
57.37,Latitude 206
58.03,Latitude 207
58.69,Latitude 208
59.35,Latitude 209
60.01,Latitude 210
60.67,Latitude 211
61.33,Latitude 212
61.99,Latitude 213
62.65,Latitude 214
63.31,Latitude 215
63.97,Latitude 216
64.63,Latitude 217
65.29,Latitude 218
65.95,Latitude 219
66.61,Latitude 220
67.27,Latitude 221
67.93,Latitude 222
68.59,Latitude 223
69.25,Latitude 224
69.91,Latitude 225
70.57,Latitude 226
71.23,Latitude 227
71.89,Latitude 228
72.55,Latitude 229
73.21,Latitude 230
73.87,Latitude 231
74.53,Latitude 232
75.19,Latitude 233
75.85,Latitude 234
76.51,Latitude 235
77.17,Latitude 236
77.83,Latitude 237
78.49,Latitude 238
79.15,Latitude 239
79.81,Latitude 240
80.47,Latitude 241
81.13,Latitude 242
81.79,Latitude 243
82.45,Latitude 244
83.11,Latitude 245
83.77,Latitude 246
84.43,Latitude 247
85.09,Latitude 248
85.75,Latitude 249
86.41,Latitude 250
87.07,Latitude 251
